"filename", "language", "TypeScript", "TypeScript JSX", "JSON with Comments", "Markdown", "CSS", "JavaScript", "JSON", "XML", "YAML", "comment", "blank", "total"
"d:\ReactProjects\EcoFarm_FE\.eslintrc.cjs", "JavaScript", 0, 0, 0, 0, 0, 34, 0, 0, 0, 1, 2, 37
"d:\ReactProjects\EcoFarm_FE\README.md", "Markdown", 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 4, 19
"d:\ReactProjects\EcoFarm_FE\cspell.config.yaml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, 35, 0, 3, 38
"d:\ReactProjects\EcoFarm_FE\i18next-parser.config.js", "JavaScript", 0, 0, 0, 0, 0, 42, 0, 0, 0, 57, 25, 124
"d:\ReactProjects\EcoFarm_FE\next-i18next.config.mjs", "JavaScript", 0, 0, 0, 0, 0, 16, 0, 0, 0, 1, 2, 19
"d:\ReactProjects\EcoFarm_FE\next.config.mjs", "JavaScript", 0, 0, 0, 0, 0, 19, 0, 0, 0, 5, 3, 27
"d:\ReactProjects\EcoFarm_FE\package.json", "JSON", 0, 0, 0, 0, 0, 0, 88, 0, 0, 0, 1, 89
"d:\ReactProjects\EcoFarm_FE\pnpm-lock.yaml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, 6389, 0, 809, 7198
"d:\ReactProjects\EcoFarm_FE\postcss.config.cjs", "JavaScript", 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 2, 19
"d:\ReactProjects\EcoFarm_FE\prettier.config.js", "JavaScript", 0, 0, 0, 0, 0, 11, 0, 0, 0, 1, 2, 14
"d:\ReactProjects\EcoFarm_FE\public\assets\brands\EcoFarm.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 26, 0, 0, 1, 27
"d:\ReactProjects\EcoFarm_FE\public\assets\icons\empty-notif.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 5855, 0, 1, 45, 5901
"d:\ReactProjects\EcoFarm_FE\public\locales\en\auth.json", "JSON", 0, 0, 0, 0, 0, 0, 45, 0, 0, 0, 1, 46
"d:\ReactProjects\EcoFarm_FE\public\locales\en\common.json", "JSON", 0, 0, 0, 0, 0, 0, 23, 0, 0, 0, 1, 24
"d:\ReactProjects\EcoFarm_FE\public\locales\en\error.json", "JSON", 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 1, 12
"d:\ReactProjects\EcoFarm_FE\public\locales\en\farm-package-review.json", "JSON", 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 1, 7
"d:\ReactProjects\EcoFarm_FE\public\locales\en\farm-package.json", "JSON", 0, 0, 0, 0, 0, 0, 16, 0, 0, 0, 1, 17
"d:\ReactProjects\EcoFarm_FE\public\locales\en\product.json", "JSON", 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 1, 4
"d:\ReactProjects\EcoFarm_FE\public\locales\en\select.json", "JSON", 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 1, 9
"d:\ReactProjects\EcoFarm_FE\public\locales\vi\auth.json", "JSON", 0, 0, 0, 0, 0, 0, 45, 0, 0, 0, 1, 46
"d:\ReactProjects\EcoFarm_FE\public\locales\vi\common.json", "JSON", 0, 0, 0, 0, 0, 0, 23, 0, 0, 0, 1, 24
"d:\ReactProjects\EcoFarm_FE\public\locales\vi\error.json", "JSON", 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 1, 12
"d:\ReactProjects\EcoFarm_FE\public\locales\vi\farm-package-review.json", "JSON", 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 1, 7
"d:\ReactProjects\EcoFarm_FE\public\locales\vi\farm-package.json", "JSON", 0, 0, 0, 0, 0, 0, 16, 0, 0, 0, 1, 17
"d:\ReactProjects\EcoFarm_FE\public\locales\vi\product.json", "JSON", 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 1, 4
"d:\ReactProjects\EcoFarm_FE\public\locales\vi\select.json", "JSON", 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 1, 9
"d:\ReactProjects\EcoFarm_FE\src\@types\i18next.d.ts", "TypeScript", 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 9
"d:\ReactProjects\EcoFarm_FE\src\@types\index.d.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1
"d:\ReactProjects\EcoFarm_FE\src\@types\resources.d.ts", "TypeScript", 115, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 117
"d:\ReactProjects\EcoFarm_FE\src\components\features\navbar\DropdownUser.tsx", "TypeScript JSX", 0, 114, 0, 0, 0, 0, 0, 0, 0, 16, 2, 132
"d:\ReactProjects\EcoFarm_FE\src\components\features\navbar\MessageUser.tsx", "TypeScript JSX", 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 2, 11
"d:\ReactProjects\EcoFarm_FE\src\components\features\navbar\Notification.tsx", "TypeScript JSX", 0, 35, 0, 0, 0, 0, 0, 0, 0, 3, 2, 40
"d:\ReactProjects\EcoFarm_FE\src\components\providers\ReactQueryProvider.tsx", "TypeScript JSX", 0, 55, 0, 0, 0, 0, 0, 0, 0, 0, 2, 57
"d:\ReactProjects\EcoFarm_FE\src\components\providers\ReduxProvider.tsx", "TypeScript JSX", 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 2, 8
"d:\ReactProjects\EcoFarm_FE\src\components\providers\SignalRProvider.tsx", "TypeScript JSX", 0, 34, 0, 0, 0, 0, 0, 0, 0, 10, 4, 48
"d:\ReactProjects\EcoFarm_FE\src\components\providers\ToastProvider.tsx", "TypeScript JSX", 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 2, 16
"d:\ReactProjects\EcoFarm_FE\src\components\providers\UiProvider.tsx", "TypeScript JSX", 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 2, 21
"d:\ReactProjects\EcoFarm_FE\src\components\providers\index.tsx", "TypeScript JSX", 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 2, 28
"d:\ReactProjects\EcoFarm_FE\src\components\ui\calendar\index.tsx", "TypeScript JSX", 0, 81, 0, 0, 0, 0, 0, 0, 0, 0, 4, 85
"d:\ReactProjects\EcoFarm_FE\src\components\ui\datepicker\index.tsx", "TypeScript JSX", 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 3, 29
"d:\ReactProjects\EcoFarm_FE\src\components\ui\dropdown\index.tsx", "TypeScript JSX", 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 3, 21
"d:\ReactProjects\EcoFarm_FE\src\components\ui\form\index.tsx", "TypeScript JSX", 0, 180, 0, 0, 0, 0, 0, 0, 0, 0, 14, 194
"d:\ReactProjects\EcoFarm_FE\src\components\ui\overlay\DefaultOverlay.tsx", "TypeScript JSX", 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 2, 14
"d:\ReactProjects\EcoFarm_FE\src\components\ui\personalInfo\UserInfo.tsx", "TypeScript JSX", 0, 38, 0, 0, 0, 0, 0, 0, 0, 30, 5, 73
"d:\ReactProjects\EcoFarm_FE\src\components\ui\popover\index.tsx", "TypeScript JSX", 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 3, 18
"d:\ReactProjects\EcoFarm_FE\src\components\ui\ratings\index.tsx", "TypeScript JSX", 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 2, 25
"d:\ReactProjects\EcoFarm_FE\src\components\ui\switch\SwitchLocale.tsx", "TypeScript JSX", 0, 27, 0, 0, 0, 0, 0, 0, 0, 1, 3, 31
"d:\ReactProjects\EcoFarm_FE\src\components\ui\switch\SwitchTheme.tsx", "TypeScript JSX", 0, 30, 0, 0, 0, 0, 0, 0, 0, 2, 5, 37
"d:\ReactProjects\EcoFarm_FE\src\components\ui\texts\TextTitle.tsx", "TypeScript JSX", 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 2, 9
"d:\ReactProjects\EcoFarm_FE\src\config\apis\account\index.ts", "TypeScript", 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 14
"d:\ReactProjects\EcoFarm_FE\src\config\apis\activity\index.ts", "TypeScript", 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 15
"d:\ReactProjects\EcoFarm_FE\src\config\apis\address\index.ts", "TypeScript", 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 25
"d:\ReactProjects\EcoFarm_FE\src\config\apis\authentication\index.ts", "TypeScript", 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 33
"d:\ReactProjects\EcoFarm_FE\src\config\apis\cart\index.ts", "TypeScript", 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 16
"d:\ReactProjects\EcoFarm_FE\src\config\apis\orders\index.ts", "TypeScript", 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 18
"d:\ReactProjects\EcoFarm_FE\src\config\apis\packageReviews\index.ts", "TypeScript", 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 15
"d:\ReactProjects\EcoFarm_FE\src\config\apis\packages\index.ts", "TypeScript", 32, 0, 0, 0, 0, 0, 0, 0, 0, 5, 12, 49
"d:\ReactProjects\EcoFarm_FE\src\config\apis\products\index.ts", "TypeScript", 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 15
"d:\ReactProjects\EcoFarm_FE\src\config\apis\user\index.tsx", "TypeScript JSX", 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 3, 9
"d:\ReactProjects\EcoFarm_FE\src\config\lib\axiosConfig.ts", "TypeScript", 74, 0, 0, 0, 0, 0, 0, 0, 0, 7, 8, 89
"d:\ReactProjects\EcoFarm_FE\src\config\lib\fonts.ts", "TypeScript", 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 21
"d:\ReactProjects\EcoFarm_FE\src\config\lib\signalRConfig.ts", "TypeScript", 23, 0, 0, 0, 0, 0, 0, 0, 0, 8, 3, 34
"d:\ReactProjects\EcoFarm_FE\src\config\lib\store.ts", "TypeScript", 11, 0, 0, 0, 0, 0, 0, 0, 0, 3, 6, 20
"d:\ReactProjects\EcoFarm_FE\src\config\reducers\activity\index.ts", "TypeScript", 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 25
"d:\ReactProjects\EcoFarm_FE\src\config\reducers\address\index.ts", "TypeScript", 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 23
"d:\ReactProjects\EcoFarm_FE\src\config\reducers\auth\index.ts", "TypeScript", 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 18
"d:\ReactProjects\EcoFarm_FE\src\config\reducers\index.ts", "TypeScript", 20, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 24
"d:\ReactProjects\EcoFarm_FE\src\config\reducers\orders\index.ts", "TypeScript", 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 26
"d:\ReactProjects\EcoFarm_FE\src\config\reducers\packageReviews\index.ts", "TypeScript", 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 21
"d:\ReactProjects\EcoFarm_FE\src\config\reducers\package\index.ts", "TypeScript", 16, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4, 22
"d:\ReactProjects\EcoFarm_FE\src\config\reducers\packages\index.ts", "TypeScript", 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 27
"d:\ReactProjects\EcoFarm_FE\src\config\reducers\products\index.ts", "TypeScript", 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 29
"d:\ReactProjects\EcoFarm_FE\src\config\reducers\signalr\index.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 2, 8
"d:\ReactProjects\EcoFarm_FE\src\config\schema\address.ts", "TypeScript", 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 14
"d:\ReactProjects\EcoFarm_FE\src\config\schema\cart.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 2, 7
"d:\ReactProjects\EcoFarm_FE\src\config\schema\index.ts", "TypeScript", 177, 0, 0, 0, 0, 0, 0, 0, 0, 11, 16, 204
"d:\ReactProjects\EcoFarm_FE\src\config\schema\order.ts", "TypeScript", 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 19
"d:\ReactProjects\EcoFarm_FE\src\config\schema\product.ts", "TypeScript", 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 25
"d:\ReactProjects\EcoFarm_FE\src\env.js", "JavaScript", 0, 0, 0, 0, 0, 21, 0, 0, 0, 21, 4, 46
"d:\ReactProjects\EcoFarm_FE\src\hooks\auth\useAuth.tsx", "TypeScript JSX", 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 4, 20
"d:\ReactProjects\EcoFarm_FE\src\hooks\mutations\activities\useCreateActivity.tsx", "TypeScript JSX", 0, 29, 0, 0, 0, 0, 0, 0, 0, 0, 1, 30
"d:\ReactProjects\EcoFarm_FE\src\hooks\mutations\address\useCreateAddress.tsx", "TypeScript JSX", 0, 29, 0, 0, 0, 0, 0, 0, 0, 1, 1, 31
"d:\ReactProjects\EcoFarm_FE\src\hooks\mutations\cart\useAddNewProduct.tsx", "TypeScript JSX", 0, 24, 0, 0, 0, 0, 0, 0, 0, 1, 2, 27
"d:\ReactProjects\EcoFarm_FE\src\hooks\mutations\cart\useRemoveFromCart.tsx", "TypeScript JSX", 0, 20, 0, 0, 0, 0, 0, 0, 0, 5, 2, 27
"d:\ReactProjects\EcoFarm_FE\src\hooks\mutations\orders\useApproveOrder.tsx", "TypeScript JSX", 0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 1, 29
"d:\ReactProjects\EcoFarm_FE\src\hooks\mutations\orders\useCreateOrder.tsx", "TypeScript JSX", 0, 27, 0, 0, 0, 0, 0, 0, 0, 2, 2, 31
"d:\ReactProjects\EcoFarm_FE\src\hooks\mutations\packages\useCloseRegisterPackage.tsx", "TypeScript JSX", 0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 1, 29
"d:\ReactProjects\EcoFarm_FE\src\hooks\mutations\packages\useCreatePackage.tsx", "TypeScript JSX", 0, 26, 0, 0, 0, 0, 0, 0, 0, 2, 1, 29
